month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2015-05,Bronx,LCL/LTD,All,Off-Peak,"242,279,586","1,718,886,679.2",7.09464097896
2015-05,Bronx,LCL/LTD,All,Peak,"125,141,913","811,645,110",6.48579752812
2015-05,Bronx,SBS,All,Off-Peak,"15,581,038","147,791,667.6",9.48535441605
2015-05,Bronx,SBS,All,Peak,"8,169,960","71,738,650.8",8.78078360237
2015-05,Brooklyn,EXP,All,Off-Peak,"10,030,362","125,474,839.2",12.5095025683
2015-05,Brooklyn,EXP,All,Peak,"9,812,348","113,927,691.6",11.6106452401
2015-05,Brooklyn,LCL/LTD,All,Off-Peak,"389,351,522","2,834,527,842",7.2801252386
2015-05,Brooklyn,LCL/LTD,All,Peak,"197,001,307","1,280,397,787.2",6.49943803266
2015-05,Brooklyn,SBS,All,Off-Peak,"9,989,396","91,487,502",9.15846183293
2015-05,Brooklyn,SBS,All,Peak,"6,013,656","52,423,963.2",8.71748620141
2015-05,Manhattan,LCL/LTD,All,Off-Peak,"198,218,539","1,125,935,143.2",5.68027162787
2015-05,Manhattan,LCL/LTD,All,Peak,"97,681,095","509,101,675.2",5.21187518629
2015-05,Manhattan,SBS,All,Off-Peak,"23,235,671","190,228,309.2",8.18690836172
2015-05,Manhattan,SBS,All,Peak,"11,624,458","83,199,884.4",7.15731300332
2015-05,Queens,EXP,All,Off-Peak,"8,007,685","111,815,161.2",13.9634814806
2015-05,Queens,EXP,All,Peak,"15,297,562","180,288,255.6",11.7854240826
